seed,outcome,reward,steps,sim_s,end_condition,own_hp,tgt_hp,wall_s
0,DRAW,809.36,11999,200.0,max time out,1.0,1.0,29.1
1,DRAW,760.02,11999,200.0,max time out,1.0,1.0,29.5
2,DRAW,1028.46,11999,200.0,max time out,1.0,0.9077720857214491,30.3
3,DRAW,927.06,11999,200.0,max time out,1.0,0.8901424564044448,28.8
4,DRAW,817.91,11999,200.0,max time out,1.0,0.846080347633567,28.6
5,DRAW,875.3,11999,200.0,max time out,1.0,1.0,28.4
6,DRAW,765.19,11999,200.0,max time out,1.0,1.0,28.6
7,DRAW,938.0,11999,200.0,max time out,1.0,1.0,28.7
8,DRAW,859.83,11999,200.0,max time out,1.0,1.0,28.1
9,DRAW,942.73,11999,200.0,max time out,1.0,0.6352062721262248,25.7
10,DRAW,850.62,11999,200.0,max time out,1.0,1.0,29.1
11,DRAW,956.37,11999,200.0,max time out,1.0,0.9056273285628963,29.4
12,DRAW,710.84,11999,200.0,max time out,1.0,1.0,29.3
13,DRAW,755.64,11999,200.0,max time out,1.0,0.8263678800226772,29.4
14,DRAW,801.94,11999,200.0,max time out,1.0,1.0,29.1
