Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181877,37.923646,7000.146528,4.0,-0.003,357.999,1.0
0.0166,128.181875,37.923691,7000.1605488000005,4.0,-0.012,357.999,1.0
0.0333,128.181873,37.923736,7000.1733504,4.0,-0.028,358.0,1.0
0.05,128.181871,37.92378,7000.186152000001,3.989,-0.046,358.004,1.0
0.0666,128.181869,37.923825,7000.1980392,3.969,-0.064,358.008,1.0
0.0833,128.181867,37.92387,7000.2093168,3.941,-0.083,358.014,1.0
0.1,128.181865,37.923915,7000.2199848,3.907,-0.101,358.019,1.0
0.1166,128.181863,37.92396,7000.2294336,3.869,-0.12,358.025,1.0
0.1333,128.181861,37.924005,7000.2385776,3.828,-0.138,358.032,1.0
0.15,128.181859,37.92405,7000.2465024,3.783,-0.156,358.038,1.0
0.1666,128.181857,37.924095,7000.2538176,3.736,-0.174,358.044,1.0
0.1833,128.181855,37.92414,7000.2599136,3.687,-0.191,358.051,1.0
0.2,128.181853,37.924185,7000.2654,3.636,-0.209,358.057,1.0
0.2166,128.181851,37.924229,7000.269972,3.584,-0.226,358.064,1.0
0.2333,128.181849,37.924274,7000.273629599999,3.53,-0.242,358.07,1.0
0.25,128.181847,37.924319,7000.2763728,3.475,-0.259,358.077,1.0
0.2666,128.181845,37.924364,7000.2778968,3.42,-0.275,358.083,1.0
0.2833,128.181843,37.924409,7000.278811200001,3.363,-0.292,358.09,1.0
0.3,128.181841,37.924454,7000.278811200001,3.305,-0.308,358.097,1.0
0.3166,128.181839,37.924499,7000.277592,3.247,-0.324,358.103,1.0
0.3333,128.181837,37.924544,7000.2754584,3.188,-0.339,358.109,1.0
0.35,128.181835,37.924589,7000.272410400001,3.129,-0.355,358.116,1.0
0.3666,128.181833,37.924634,7000.268448,3.069,-0.37,358.122,1.0
0.3833,128.181832,37.924678,7000.2632664,3.008,-0.385,358.129,1.0
0.4,128.18183,37.924723,7000.257170400001,2.947,-0.4,358.135,1.0
0.4166,128.181828,37.924768,7000.2501600000005,2.885,-0.415,358.141,1.0
0.4333,128.181826,37.924813,7000.2419304000005,2.823,-0.43,358.148,1.0
0.45,128.181824,37.924858,7000.232786400001,2.76,-0.445,358.154,1.0
0.4666,128.181822,37.924903,7000.222728000001,2.697,-0.46,358.16,1.0
0.4833,128.18182,37.924948,7000.2114504,2.633,-0.474,358.166,1.0
0.5,128.181818,37.924993,7000.1992584,2.569,-0.488,358.172,1.0
0.5166,128.181816,37.925038,7000.186152000001,2.505,-0.503,358.178,1.0
0.5333,128.181814,37.925083,7000.1718264,2.44,-0.517,358.184,1.0
0.55,128.181812,37.925127,7000.1565864,2.375,-0.531,358.19,1.0
0.5666,128.18181,37.925172,7000.1401272,2.309,-0.545,358.196,1.0
0.5833,128.181808,37.925217,7000.1227536,2.243,-0.559,358.202,1.0
0.6,128.181806,37.925262,7000.1041608000005,2.176,-0.573,358.208,1.0
0.6166,128.181804,37.925307,7000.0846536,2.11,-0.587,358.214,1.0
0.6333,128.181802,37.925352,7000.063927200001,2.042,-0.601,358.22,1.0
0.65,128.1818,37.925397,7000.0422864,1.975,-0.615,358.226,1.0
0.6666,128.181799,37.925442,7000.0194264,1.907,-0.629,358.231,1.0
0.6833,128.181797,37.925487,6999.995347200001,1.838,-0.642,358.237,1.0
0.7,128.181795,37.925532,6999.9706584000005,1.77,-0.656,358.243,1.0
0.7166,128.181793,37.925577,6999.9444456,1.7,-0.669,358.248,1.0
0.7333,128.181791,37.925621,6999.9173184,1.631,-0.683,358.254,1.0
0.75,128.181789,37.925666,6999.888972,1.561,-0.696,358.259,1.0
0.7666,128.181787,37.925711,6999.859711200001,1.491,-0.71,358.265,1.0
0.7833,128.181785,37.925756,6999.829536,1.421,-0.723,358.27,1.0
0.8,128.181783,37.925801,6999.7978368,1.35,-0.737,358.276,1.0
0.8166,128.181781,37.925846,6999.7652232,1.278,-0.75,358.281,1.0
0.8333,128.181779,37.925891,6999.7316952,1.207,-0.763,358.287,1.0
0.85,128.181777,37.925936,6999.6966432,1.135,-0.777,358.292,1.0
0.8666,128.181775,37.925981,6999.6606768,1.063,-0.79,358.297,1.0
