Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.968463,7002.830292000001,0.0,-0.003,179.999,1.0
0.0166,128.181881,37.968418,7002.8116992000005,0.0,-0.012,180.0,1.0
0.0333,128.181881,37.968374,7002.792496800001,0.0,-0.025,180.0,1.0
0.05,128.181881,37.968329,7002.7720752,0.0,-0.04,180.0,1.0
0.0666,128.181881,37.968284,7002.751044,0.0,-0.057,180.0,1.0
0.0833,128.181881,37.968239,7002.7290984,0.0,-0.075,180.0,1.0
0.1,128.181881,37.968194,7002.705933600001,0.0,-0.094,180.0,1.0
0.1166,128.181881,37.968149,7002.682159200001,0.0,-0.112,180.0,1.0
0.1333,128.181881,37.968104,7002.657470400001,0.0,-0.131,180.0,1.0
0.15,128.181881,37.968059,7002.6318672,0.0,-0.149,180.0,1.0
0.1666,128.181881,37.968014,7002.6050448000005,0.0,-0.167,180.0,1.0
0.1833,128.181881,37.967969,7002.5776128,0.0,-0.185,180.0,1.0
0.2,128.181881,37.967924,7002.5489615999995,0.0,-0.203,180.0,1.0
0.2166,128.181881,37.96788,7002.5197008000005,0.0,-0.22,180.0,1.0
0.2333,128.181881,37.967835,7002.4892208,0.0,-0.237,180.0,1.0
0.25,128.181881,37.96779,7002.4578264,0.0,-0.254,180.0,1.0
0.2666,128.181881,37.967745,7002.4252128,0.0,-0.271,180.0,1.0
0.2833,128.181881,37.9677,7002.3919896,0.0,-0.287,180.0,1.0
0.3,128.181881,37.967655,7002.357547200001,0.0,-0.304,180.0,1.0
0.3166,128.181881,37.96761,7002.3221904,0.0,-0.32,180.0,1.0
0.3333,128.181881,37.967565,7002.2859192000005,0.0,-0.335,180.0,1.0
0.35,128.181881,37.967521,7002.2484288000005,0.0,-0.351,180.0,1.0
0.3666,128.181881,37.967476,7002.210024000001,0.001,-0.366,180.0,1.0
0.3833,128.181881,37.967431,7002.1704,0.001,-0.381,180.0,1.0
0.4,128.181881,37.967386,7002.1301664,0.001,-0.396,180.0,1.0
0.4166,128.181881,37.967341,7002.0884088,0.001,-0.411,180.0,1.0
0.4333,128.181881,37.967296,7002.0460416000005,0.001,-0.426,180.0,1.0
0.45,128.181881,37.967252,7002.0024552,0.001,-0.441,180.0,1.0
0.4666,128.181881,37.967207,7001.957954400001,0.001,-0.455,180.0,1.0
0.4833,128.181881,37.967162,7001.9122344,0.001,-0.469,180.0,1.0
0.5,128.181881,37.967117,7001.8656,0.002,-0.483,180.0,1.0
0.5166,128.181881,37.967072,7001.817746400001,0.002,-0.498,180.0,1.0
0.5333,128.181881,37.967028,7001.7689784,0.002,-0.512,180.0,1.0
0.55,128.181881,37.966983,7001.719296,0.002,-0.526,180.0,1.0
0.5666,128.181881,37.966938,7001.6683944,0.002,-0.539,180.0,1.0
0.5833,128.181881,37.966893,7001.616273600001,0.002,-0.553,180.0,1.0
0.6,128.181881,37.966849,7001.563238400001,0.003,-0.567,180.0,1.0
0.6166,128.181881,37.966804,7001.5092888,0.003,-0.58,180.0,1.0
0.6333,128.181881,37.966759,7001.454120000001,0.003,-0.594,180.0,1.0
0.65,128.181881,37.966714,7001.3980368,0.003,-0.607,180.0,1.0
0.6666,128.181881,37.96667,7001.3407344,0.003,-0.621,180.0,1.0
0.6833,128.181881,37.966625,7001.2822128,0.004,-0.634,180.0,1.0
0.7,128.181881,37.96658,7001.2227768,0.004,-0.648,180.0,1.0
0.7166,128.181881,37.966536,7001.1624264,0.004,-0.661,180.0,1.0
0.7333,128.181881,37.966491,7001.100856800001,0.004,-0.674,180.0,1.0
0.75,128.181881,37.966446,7001.038372800001,0.005,-0.687,180.0,1.0
0.7666,128.181881,37.966402,7000.974669600001,0.005,-0.701,180.0,1.0
0.7833,128.181881,37.966357,7000.909747200001,0.005,-0.714,180.0,1.0
0.8,128.181881,37.966312,7000.843910400001,0.005,-0.727,180.0,1.0
0.8166,128.181881,37.966268,7000.777159200001,0.005,-0.74,180.001,1.0
0.8333,128.181881,37.966223,7000.7091887999995,0.006,-0.753,180.001,1.0
0.85,128.181881,37.966179,7000.639999200001,0.006,-0.766,180.001,1.0
0.8666,128.181881,37.966134,7000.5698952,0.006,-0.78,180.001,1.0
0.8833,128.181881,37.966089,7000.498572,0.007,-0.793,180.001,1.0
0.9,128.181881,37.966045,7000.4263344,0.007,-0.806,180.001,1.0
0.9166,128.181881,37.966,7000.3528776,0.007,-0.819,180.001,1.0
0.9333,128.181881,37.965956,7000.278506400001,0.007,-0.832,180.001,1.0
0.95,128.181881,37.965911,7000.202916,0.008,-0.845,180.001,1.0
0.9666,128.181881,37.965867,7000.126106400001,0.008,-0.858,180.001,1.0
0.9833,128.181881,37.965822,7000.0483824,0.008,-0.871,180.001,1.0
1.0,128.181881,37.965778,6999.9694392,0.008,-0.884,180.001,1.0
1.0166,128.181881,37.965733,6999.8895816,0.009,-0.897,180.001,1.0
1.0333,128.181881,37.965689,6999.8085048,0.009,-0.91,180.001,1.0
1.05,128.181881,37.965644,6999.7265136000005,0.009,-0.923,180.001,1.0
1.0666,128.181881,37.9656,6999.6433032,0.01,-0.936,180.001,1.0
1.0833,128.181881,37.965555,6999.558873600001,0.01,-0.949,180.001,1.0
1.1,128.181881,37.965511,6999.4735296,0.01,-0.962,180.001,1.0
1.1166,128.181881,37.965466,6999.3872712,0.011,-0.976,180.001,1.0
1.1333,128.181881,37.965422,6999.2994888,0.011,-0.989,180.001,1.0
1.15,128.181881,37.965377,6999.211096800001,0.011,-1.002,180.001,1.0
1.1666,128.181881,37.965333,6999.1211808,0.012,-1.015,180.001,1.0
1.1833,128.181881,37.965289,6999.0303504,0.012,-1.028,180.001,1.0
1.2,128.181881,37.965244,6998.9383008,0.012,-1.041,180.001,1.0
1.2166,128.181881,37.9652,6998.8453368,0.013,-1.054,180.002,1.0
1.2333,128.181881,37.965155,6998.7511536,0.013,-1.067,180.002,1.0
1.25,128.181881,37.965111,6998.656056000001,0.013,-1.08,180.002,1.0
1.2666,128.181881,37.965067,6998.5597392,0.014,-1.094,180.002,1.0
1.2833,128.181881,37.965022,6998.4622032,0.014,-1.107,180.002,1.0
1.3,128.181881,37.964978,6998.3637528,0.014,-1.12,180.002,1.0
1.3166,128.181881,37.964934,6998.264083200001,0.015,-1.133,180.002,1.0
1.3333,128.181881,37.964889,6998.1634992,0.015,-1.146,180.002,1.0
1.35,128.181881,37.964845,6998.061696000001,0.015,-1.16,180.002,1.0
1.3666,128.18188,37.964801,6997.9586736,0.016,-1.173,180.002,1.0
1.3833,128.18188,37.964756,6997.854736800001,0.016,-1.186,180.002,1.0
1.4,128.18188,37.964712,6997.7495808,0.016,-1.199,180.002,1.0
1.4166,128.18188,37.964668,6997.6432056,0.017,-1.212,180.002,1.0
1.4333,128.18188,37.964623,6997.535916,0.017,-1.226,180.002,1.0
1.45,128.18188,37.964579,6997.4274072,0.018,-1.239,180.002,1.0
1.4666,128.18188,37.964535,6997.317984000001,0.018,-1.252,180.002,1.0
1.4833,128.18188,37.964491,6997.2070368,0.018,-1.266,180.002,1.0
1.5,128.18188,37.964446,6997.09548,0.019,-1.279,180.002,1.0
1.5166,128.18188,37.964402,6996.9823992,0.019,-1.292,180.002,1.0
1.5333,128.18188,37.964358,6996.868404,0.02,-1.306,180.002,1.0
1.55,128.18188,37.964314,6996.7534944,0.02,-1.319,180.002,1.0
1.5666,128.18188,37.964269,6996.6373656000005,0.02,-1.332,180.003,1.0
1.5833,128.18188,37.964225,6996.5200176,0.021,-1.346,180.003,1.0
1.6,128.18188,37.964181,6996.401450400001,0.021,-1.359,180.003,1.0
1.6166,128.18188,37.964137,6996.281968800001,0.021,-1.372,180.003,1.0
1.6333,128.18188,37.964093,6996.161268000001,0.022,-1.386,180.003,1.0
1.65,128.18188,37.964049,6996.0396528,0.022,-1.399,180.003,1.0
1.6666,128.18188,37.964004,6995.9165136,0.023,-1.412,180.003,1.0
1.6833,128.18188,37.96396,6995.7927648,0.023,-1.426,180.003,1.0
1.7,128.18188,37.963916,6995.6674920000005,0.024,-1.439,180.003,1.0
1.7166,128.18188,37.963872,6995.5413048,0.024,-1.453,180.003,1.0
1.7333,128.18188,37.963828,6995.4138984,0.024,-1.466,180.003,1.0
1.75,128.18188,37.963784,6995.285577600001,0.025,-1.48,180.003,1.0
1.7666,128.18188,37.96374,6995.156037600001,0.025,-1.493,180.003,1.0
1.7833,128.18188,37.963696,6995.0252784,0.026,-1.507,180.003,1.0
1.8,128.18188,37.963651,6994.893300000001,0.026,-1.52,180.003,1.0
1.8166,128.18188,37.963607,6994.7604071999995,0.027,-1.534,180.003,1.0
1.8333,128.18188,37.963563,6994.6266000000005,0.027,-1.547,180.003,1.0
1.85,128.18188,37.963519,6994.4912688,0.027,-1.561,180.003,1.0
1.8666,128.18188,37.963475,6994.355023200001,0.028,-1.574,180.004,1.0
1.8833,128.18188,37.963431,6994.217558400001,0.028,-1.588,180.004,1.0
1.9,128.18188,37.963387,6994.079179200001,0.029,-1.601,180.004,1.0
1.9166,128.18188,37.963343,6993.9395808,0.029,-1.615,180.004,1.0
1.9333,128.18188,37.963299,6993.7987632,0.03,-1.629,180.004,1.0
1.95,128.18188,37.963255,6993.6567264000005,0.03,-1.642,180.004,1.0
1.9666,128.18188,37.963211,6993.5137752,0.03,-1.656,180.004,1.0
1.9833,128.18188,37.963167,6993.3696048,0.031,-1.669,180.004,1.0
2.0,128.18188,37.963123,6993.224215200001,0.031,-1.683,180.004,1.0
2.0166,128.18188,37.963079,6993.077911200001,0.032,-1.697,180.004,1.0
2.0333,128.18188,37.963035,6992.930388000001,0.032,-1.71,180.004,1.0
2.05,128.18188,37.962991,6992.7816456,0.033,-1.724,180.004,1.0
2.0666,128.18188,37.962947,6992.6319888,0.033,-1.738,180.004,1.0
2.0833,128.18188,37.962903,6992.4811128,0.034,-1.751,180.004,1.0
2.1,128.18188,37.962859,6992.3290176,0.034,-1.765,180.004,1.0
2.1166,128.18188,37.962815,6992.176008,0.035,-1.779,180.004,1.0
2.1333,128.18188,37.962771,6992.021779200001,0.035,-1.792,180.004,1.0
2.15,128.18188,37.962727,6991.8663312,0.036,-1.806,180.004,1.0
2.1666,128.18188,37.962684,6991.709664000001,0.036,-1.82,180.005,1.0
2.1833,128.18188,37.96264,6991.5520824000005,0.037,-1.834,180.005,1.0
2.2,128.18188,37.962596,6991.393281600001,0.037,-1.847,180.005,1.0
2.2166,128.18188,37.962552,6991.233261599999,0.038,-1.861,180.005,1.0
2.2333,128.18188,37.962508,6991.072022400001,0.038,-1.875,180.005,1.0
2.25,128.18188,37.962464,6990.9098688,0.038,-1.889,180.005,1.0
2.2666,128.18188,37.96242,6990.746496000001,0.039,-1.903,180.005,1.0
