Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.914645,6886.8898584,0.0,-0.003,0.0,1.0
0.0166,128.181881,37.91469,6886.903879200001,0.0,-0.012,0.0,1.0
0.0333,128.181881,37.914734,6886.9154616,0.086,-0.026,0.011,1.0
0.05,128.181881,37.914779,6886.925520000001,0.256,-0.042,0.035,1.0
0.0666,128.181881,37.914823,6886.9328352,0.513,-0.061,0.065,1.0
0.0833,128.181881,37.914868,6886.937712,0.858,-0.082,0.1,1.0
0.1,128.181881,37.914912,6886.939236,1.292,-0.103,0.136,1.0
0.1166,128.181881,37.914957,6886.9371024,1.814,-0.126,0.171,1.0
0.1333,128.181881,37.915002,6886.931311200001,2.419,-0.149,0.207,1.0
0.15,128.181881,37.915046,6886.920948,3.106,-0.17,0.241,1.0
0.1666,128.181881,37.915091,6886.9063176,3.871,-0.192,0.275,1.0
0.1833,128.181881,37.915135,6886.887724800001,4.71,-0.213,0.307,1.0
0.2,128.181881,37.91518,6886.865169600001,5.621,-0.236,0.338,1.0
0.2166,128.181881,37.915225,6886.8383472000005,6.601,-0.259,0.368,1.0
0.2333,128.181881,37.915269,6886.8075624,7.646,-0.274,0.397,1.0
0.25,128.181881,37.915314,6886.773424800001,8.753,-0.281,0.427,1.0
0.2666,128.181881,37.915358,6886.735020000001,9.921,-0.284,0.457,1.0
0.2833,128.181881,37.915403,6886.6929576,11.146,-0.283,0.487,1.0
0.3,128.181881,37.915448,6886.647542400001,12.426,-0.282,0.516,1.0
0.3166,128.181881,37.915493,6886.598164800001,13.758,-0.281,0.544,1.0
0.3333,128.181881,37.915537,6886.546044,15.141,-0.268,0.575,1.0
0.35,128.181881,37.915582,6886.490570400001,16.572,-0.241,0.61,1.0
0.3666,128.181881,37.915627,6886.431744,18.049,-0.205,0.648,1.0
0.3833,128.181881,37.915671,6886.370174400001,19.571,-0.164,0.688,1.0
0.4,128.181881,37.915716,6886.305556800001,21.135,-0.121,0.73,1.0
0.4166,128.181881,37.915761,6886.238196,22.74,-0.079,0.772,1.0
0.4333,128.181881,37.915806,6886.1687016000005,24.384,-0.026,0.82,1.0
0.45,128.18188,37.915851,6886.0967688,26.066,0.043,0.878,1.0
0.4666,128.18188,37.915895,6886.0227024,27.785,0.125,0.945,1.0
0.4833,128.18188,37.91594,6885.9465024,29.539,0.212,1.017,1.0
0.5,128.18188,37.915985,6885.8687784,31.326,0.3,1.094,1.0
0.5166,128.18188,37.91603,6885.7889208,33.147,0.387,1.173,1.0
0.5333,128.18188,37.916075,6885.707844,34.999,0.482,1.262,1.0
0.55,128.181881,37.91612,6885.6258528,36.883,0.592,1.368,1.0
0.5666,128.181881,37.916164,6885.542642400001,38.796,0.714,1.489,1.0
0.5833,128.181881,37.916209,6885.4585176,40.74,0.84,1.621,1.0
0.6,128.181881,37.916254,6885.373478400001,42.713,0.964,1.759,1.0
0.6166,128.181881,37.916299,6885.2878296,44.713,1.083,1.902,1.0
0.6333,128.181881,37.916344,6885.2024856,46.661,1.21,2.054,1.0
0.65,128.181881,37.916389,6885.118056,48.554,1.351,2.225,1.0
0.6666,128.181881,37.916434,6885.034236,50.397,1.504,2.417,1.0
0.6833,128.181881,37.916479,6884.9516352,52.195,1.661,2.626,1.0
0.7,128.181882,37.916524,6884.8705584,53.955,1.815,2.845,1.0
0.7166,128.181882,37.916569,6884.791310400001,55.681,1.961,3.071,1.0
0.7333,128.181883,37.916614,6884.7138912,57.288,2.112,3.31,1.0
0.75,128.181883,37.916659,6884.639215200001,58.783,2.272,3.574,1.0
0.7666,128.181884,37.916704,6884.566672800001,60.179,2.439,3.863,1.0
0.7833,128.181884,37.916748,6884.497178400001,61.49,2.604,4.168,1.0
0.8,128.181885,37.916793,6884.4301224,62.727,2.762,4.484,1.0
0.8166,128.181886,37.916838,6884.365809600001,63.902,2.91,4.805,1.0
0.8333,128.181887,37.916883,6884.30424,64.966,3.05,5.127,1.0
0.85,128.181888,37.916928,6884.2457184,65.931,3.183,5.448,1.0
0.8666,128.18189,37.916973,6884.1902448,66.81,3.306,5.766,1.0
0.8833,128.181891,37.917018,6884.1372096000005,67.616,3.417,6.08,1.0
0.9,128.181892,37.917063,6884.086917600001,68.358,3.517,6.388,1.0
0.9166,128.181894,37.917108,6884.038759200001,69.049,3.606,6.69,1.0
0.9333,128.181896,37.917153,6883.9927344,69.698,3.683,6.986,1.0
0.95,128.181898,37.917198,6883.9488432,70.315,3.751,7.274,1.0
0.9666,128.1819,37.917243,6883.9067808,70.905,3.809,7.556,1.0
0.9833,128.181902,37.917287,6883.866547200001,71.474,3.858,7.831,1.0
1.0,128.181904,37.917332,6883.828142400001,72.026,3.9,8.1,1.0
1.0166,128.181906,37.917377,6883.7915664,72.564,3.935,8.362,1.0
1.0333,128.181909,37.917422,6883.756819200001,73.066,3.965,8.617,1.0
1.05,128.181911,37.917467,6883.723596000001,73.537,3.991,8.865,1.0
1.0666,128.181914,37.917512,6883.692201600001,73.978,4.013,9.108,1.0
1.0833,128.181917,37.917557,6883.6623312,74.394,4.03,9.346,1.0
1.1,128.18192,37.917601,6883.6339848,74.788,4.043,9.579,1.0
