Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
399.9666,128.197601,37.928859,8497.028472,9.0,-8.003,10.999,1.0
399.9833,128.197611,37.928902,8496.344805600002,9.0,-8.01,10.998,1.0
400.0,128.197622,37.928946,8495.6611392,8.928,-8.02,10.987,1.0
400.0166,128.197633,37.92899,8494.9768632,8.787,-8.031,10.967,1.0
400.0333,128.197644,37.929033,8494.2922824,8.573,-8.042,10.941,1.0
400.05,128.197655,37.929077,8493.608006400002,8.286,-8.055,10.91,1.0
400.0666,128.197665,37.929121,8492.9237304,7.926,-8.068,10.877,1.0
400.0833,128.197676,37.929164,8492.240368800001,7.492,-8.08,10.844,1.0
400.1,128.197687,37.929208,8491.5579216,6.987,-8.093,10.81,1.0
400.1166,128.197698,37.929252,8490.8763888,6.411,-8.106,10.776,1.0
400.1333,128.197709,37.929296,8490.1966848,5.768,-8.118,10.743,1.0
400.15,128.19772,37.929339,8489.5175904,5.06,-8.13,10.711,1.0
400.1666,128.197731,37.929383,8488.839715200002,4.288,-8.142,10.679,1.0
400.1833,128.197741,37.929427,8488.1627544,3.454,-8.153,10.649,1.0
400.2,128.197752,37.929471,8487.4870128,2.562,-8.164,10.619,1.0
400.2166,128.197763,37.929514,8486.8124904,1.612,-8.175,10.59,1.0
400.2333,128.197774,37.929558,8486.1388824,0.608,-8.185,10.562,1.0
400.25,128.197785,37.929602,8485.4661888,-0.448,-8.195,10.536,1.0
400.2666,128.197796,37.929646,8484.794409600001,-1.555,-8.206,10.51,1.0
400.2833,128.197807,37.92969,8484.1235448,-2.712,-8.215,10.485,1.0
400.3,128.197817,37.929733,8483.4538992,-3.915,-8.225,10.461,1.0
400.3166,128.197828,37.929777,8482.785168,-5.163,-8.235,10.438,1.0
400.3333,128.197839,37.929821,8482.1173512,-6.455,-8.245,10.415,1.0
400.35,128.19785,37.929865,8481.4504488,-7.789,-8.255,10.394,1.0
400.3666,128.197861,37.929909,8480.784460800001,-9.162,-8.266,10.373,1.0
400.3833,128.197872,37.929953,8480.1190824,-10.575,-8.276,10.353,1.0
400.4,128.197883,37.929997,8479.4549232,-12.024,-8.287,10.334,1.0
400.4166,128.197893,37.93004,8478.791373600001,-13.508,-8.298,10.316,1.0
400.4333,128.197904,37.930084,8478.1287384,-15.027,-8.309,10.299,1.0
400.45,128.197915,37.930128,8477.4670176,-16.579,-8.321,10.283,1.0
400.4666,128.197926,37.930172,8476.8059064,-18.162,-8.333,10.267,1.0
400.4833,128.197937,37.930216,8476.145709600001,-19.776,-8.346,10.252,1.0
400.5,128.197947,37.93026,8475.4861224,-21.418,-8.358,10.238,1.0
