Time,Latitude,Longitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.000000,37.249191,131.869627,6096.028651,0.000000,-0.002000,90.000000
1.000000,37.249191,131.869627,6096.028651,0.000000,-0.002000,90.000000
1.000000,37.249191,131.869627,6096.028651,0.000000,-0.002000,90.000000
1.000000,37.249191,131.869627,6096.028651,0.000000,-0.002000,90.000000
1.000000,37.249191,131.869627,6096.028651,0.000000,-0.002000,90.000000
1.000000,37.249191,131.869627,6096.028346,0.000000,-0.001000,90.000000
1.000000,37.249192,131.869820,6095.976226,0.459000,0.072000,90.030998
1.000000,37.249192,131.870014,6095.832665,2.030000,0.817000,90.120003
1.000000,37.249192,131.870248,6095.537009,5.256000,2.877000,90.327003
1.000000,37.249192,131.870484,6095.156314,9.754000,5.467000,90.700996
1.000000,37.249191,131.870719,6094.748186,15.257000,7.968000,91.267998
2.000000,37.249191,131.870916,6094.422355,20.365000,9.785000,91.882004
2.000000,37.249191,131.871154,6094.081589,26.809000,11.593000,92.776001
2.000000,37.249190,131.871392,6093.820070,33.241001,13.038000,93.830002
2.000000,37.249188,131.871630,6093.653650,39.297001,14.165000,95.026001
2.000000,37.249185,131.871829,6093.599700,43.791000,14.890000,96.111000
2.000000,37.249181,131.872068,6093.646944,48.249001,15.541000,97.490997
2.000000,37.249177,131.872267,6093.778008,51.146000,15.930000,98.685997
2.000000,37.249171,131.872467,6093.988320,53.354000,16.202000,99.903999
2.000000,37.249163,131.872706,6094.337011,55.240002,16.384001,101.375999
2.000000,37.249152,131.872946,6094.785372,56.508999,16.429001,102.836998
3.000000,37.249142,131.873146,6095.233733,57.231998,16.389999,104.023003
3.000000,37.249127,131.873425,6095.974092,57.959000,16.280001,105.600998
3.000000,37.249113,131.873625,6096.581558,58.424999,16.201000,106.653000
3.000000,37.249096,131.873864,6097.395679,59.070999,16.146999,107.820999
3.000000,37.249080,131.874063,6098.143049,59.748001,16.157000,108.712997
3.000000,37.249058,131.874301,6099.126638,60.640999,16.219000,109.707001
3.000000,37.249035,131.874540,6100.207764,61.452000,16.296000,110.655998
3.000000,37.249008,131.874777,6101.387645,62.104000,16.372999,111.583000
3.000000,37.248979,131.875014,6102.663538,62.595001,16.445000,112.498001
3.000000,37.248949,131.875251,6104.033918,62.959999,16.514000,113.404999
4.000000,37.248915,131.875486,6105.496349,63.243000,16.583000,114.306000
4.000000,37.248879,131.875721,6107.049305,63.481998,16.655001,115.198997
4.000000,37.248841,131.875955,6108.692177,63.702999,16.731001,116.086998
4.000000,37.248800,131.876188,6110.424050,63.919998,16.813000,116.969002
4.000000,37.248765,131.876381,6111.935249,64.099998,16.885000,117.700996
4.000000,37.248718,131.876612,6113.829581,64.315002,16.976999,118.575996
4.000000,37.248670,131.876842,6115.812000,64.526001,17.073999,119.449997
4.000000,37.248620,131.877071,6117.881592,64.731003,17.177000,120.324997
4.000000,37.248567,131.877299,6120.037747,64.926003,17.285000,121.199997
4.000000,37.248512,131.877525,6122.280161,65.111000,17.396999,122.078003
5.000000,37.248464,131.877713,6124.213812,65.257004,17.493999,122.810997
5.000000,37.248403,131.877937,6126.611674,65.422997,17.614000,123.694000
5.000000,37.248352,131.878122,6128.674255,65.554001,17.718000,124.431000
5.000000,37.248298,131.878307,6130.794444,65.680000,17.825001,125.170998
5.000000,37.248243,131.878490,6132.971935,65.803001,17.934000,125.913002
5.000000,37.248173,131.878709,6135.659966,65.946999,18.069000,126.806000
5.000000,37.248114,131.878890,6137.962121,66.063004,18.184000,127.552002
5.000000,37.248041,131.879105,6140.798894,66.197998,18.323999,128.449005
5.000000,37.247978,131.879284,6143.223883,66.306999,18.444000,129.199005
5.000000,37.247900,131.879497,6146.206961,66.431000,18.591000,130.102005
6.000000,37.247832,131.879671,6148.752955,66.530998,18.715000,130.856003
6.000000,37.247764,131.879846,6151.353509,66.627998,18.841999,131.612000
6.000000,37.247680,131.880054,6154.545374,66.739998,18.995001,132.520996
6.000000,37.247607,131.880225,6157.264495,66.832001,19.125000,133.281006
6.000000,37.247534,131.880395,6160.036651,66.921997,19.257000,134.042007
6.000000,37.247427,131.880630,6164.006366,67.044998,19.443001,135.110001
6.000000,37.247349,131.880796,6166.904710,67.130997,19.577999,135.873993
6.000000,37.247254,131.880995,6170.451667,67.232002,19.740999,136.792999
6.000000,37.247156,131.881190,6174.073301,67.332001,19.906000,137.714005
6.000000,37.247057,131.881383,6177.769001,67.428001,20.072001,138.638000
7.000000,37.246955,131.881574,6181.538462,67.523003,20.240000,139.563004
7.000000,37.246850,131.881762,6185.380771,67.616997,20.409000,140.490997
7.000000,37.246743,131.881948,6189.295318,67.709999,20.579000,141.421005
7.000000,37.246634,131.882132,6193.281187,67.803001,20.750000,142.352997
7.000000,37.246542,131.882283,6196.657152,67.878998,20.893999,143.130997
7.000000,37.246449,131.882433,6200.082190,67.956001,21.038000,143.910004
7.000000,37.246335,131.882609,6204.256121,68.046997,21.211000,144.847000
7.000000,37.246218,131.882783,6208.499242,68.139000,21.384001,145.783997
7.000000,37.246100,131.882955,6212.811247,68.232002,21.558001,146.723007
7.000000,37.245980,131.883123,6217.190918,68.323997,21.732000,147.664001
8.000000,37.245858,131.883289,6221.637950,68.417999,21.905001,148.604996
8.000000,37.245734,131.883453,6226.151734,68.513000,22.079000,149.546997
8.000000,37.245608,131.883613,6230.731354,68.609001,22.252001,150.490997
8.000000,37.245481,131.883771,6235.376201,68.706001,22.424999,151.434998
8.000000,37.245374,131.883900,6239.296234,68.787003,22.569000,152.222000
8.000000,37.245243,131.884052,6244.059038,68.886002,22.740000,153.167999
8.000000,37.245133,131.884177,6248.075998,68.969002,22.882999,153.957001
8.000000,37.244999,131.884324,6252.954017,69.070000,23.052999,154.904999
8.000000,37.244864,131.884468,6257.893910,69.172997,23.223000,155.852997
8.000000,37.244728,131.884608,6262.894764,69.277000,23.391001,156.802002
9.000000,37.244590,131.884746,6267.955968,69.384003,23.559000,157.751999
9.000000,37.244450,131.884880,6273.076913,69.491997,23.725000,158.703003
9.000000,37.244309,131.885012,6278.256379,69.601997,23.889999,159.654007
9.000000,37.244167,131.885140,6283.493758,69.714996,24.052999,160.604996
9.000000,37.244023,131.885266,6288.788438,69.829002,24.215000,161.557007
9.000000,37.243878,131.885387,6294.139507,69.945000,24.375000,162.509003
9.000000,37.243756,131.885486,6298.641098,70.042999,24.507000,163.302994
9.000000,37.243635,131.885583,6303.180790,70.142998,24.638000,164.097000
9.000000,37.243486,131.885697,6308.677858,70.264999,24.792999,165.050003
9.000000,37.243337,131.885807,6314.228266,70.389000,24.945999,166.003998
10.000000,37.243188,131.885914,6319.830794,70.515999,25.098000,166.957001
10.000000,37.243036,131.886017,6325.484834,70.643997,25.247000,167.910995
10.000000,37.242884,131.886118,6331.189471,70.775002,25.393999,168.865005
10.000000,37.242730,131.886214,6336.943486,70.907997,25.538000,169.817993
10.000000,37.242577,131.886309,6342.746268,71.042999,25.680000,170.772003
10.000000,37.242422,131.886399,6348.596904,71.181000,25.820000,171.725998
10.000000,37.242267,131.886487,6354.494479,71.320000,25.957001,172.679993
10.000000,37.242110,131.886570,6360.437774,71.461998,26.091999,173.632996
10.000000,37.241954,131.886650,6366.426180,71.606003,26.224001,174.585999
10.000000,37.241795,131.886728,6372.458172,71.751999,26.353001,175.539993
11.000000,37.241638,131.886801,6378.533446,71.901001,26.480000,176.492004
11.000000,37.241505,131.886860,6383.628178,72.027000,26.583000,177.285995
11.000000,37.241373,131.886917,6388.751256,72.153000,26.684000,178.080002
11.000000,37.241213,131.886981,6394.936258,72.307999,26.802999,179.031998
11.000000,37.241079,131.887033,6400.120296,72.438004,26.900000,179.824997
11.000000,37.240920,131.887091,6406.376316,72.596001,27.013000,-179.223999
11.000000,37.240758,131.887147,6412.669826,72.755997,27.122999,-178.272995
11.000000,37.240597,131.887199,6418.999608,72.917999,27.230000,-177.322998
11.000000,37.240463,131.887239,6424.301604,73.054001,27.316999,-176.531998
11.000000,37.240328,131.887278,6429.627679,73.191002,27.400999,-175.740997
12.000000,37.240167,131.887321,6436.049510,73.358002,27.500000,-174.792999
12.000000,37.240005,131.887360,6442.503955,73.527000,27.594999,-173.845001
12.000000,37.239870,131.887391,6447.906840,73.667999,27.672001,-173.056000
12.000000,37.239735,131.887420,6453.331061,73.810997,27.746000,-172.268005
12.000000,37.239546,131.887454,6460.959290,74.013000,27.847000,-171.164993
12.000000,37.239410,131.887478,6466.431974,74.157997,27.916000,-170.378006
12.000000,37.239221,131.887506,6474.126041,74.362000,28.007999,-169.276993
12.000000,37.239059,131.887526,6480.749345,74.539001,28.083000,-168.335007
12.000000,37.238897,131.887544,6487.398252,74.716003,28.155001,-167.393005
12.000000,37.238762,131.887555,6492.957499,74.863998,28.212000,-166.610001
13.000000,37.238573,131.887568,6500.767694,75.072998,28.289000,-165.514008
13.000000,37.238411,131.887575,6507.486096,75.252998,28.350000,-164.576004
13.000000,37.238251,131.887579,6514.225834,75.435997,28.408001,-163.638000
13.000000,37.238090,131.887580,6520.985383,75.623001,28.462999,-162.701004
13.000000,37.237956,131.887579,6526.633022,75.780998,28.507000,-161.919998
13.000000,37.237796,131.887574,6533.426710,75.973000,28.555000,-160.983994
13.000000,37.237636,131.887566,6540.237466,76.167999,28.601000,-160.048004
13.000000,37.237477,131.887556,6547.064376,76.364998,28.643000,-159.112000
13.000000,37.237317,131.887541,6553.906222,76.564003,28.681000,-158.177994
13.000000,37.237158,131.887524,6560.761783,76.763000,28.716000,-157.244003
14.000000,37.237001,131.887503,6567.630451,76.964996,28.746000,-156.311005
14.000000,37.236843,131.887480,6574.510702,77.167000,28.773001,-155.378998
14.000000,37.236686,131.887454,6581.401620,77.370003,28.797001,-154.449005
14.000000,37.236530,131.887424,6588.301987,77.573997,28.816000,-153.518997
14.000000,37.236401,131.887397,6594.059050,77.744003,28.829000,-152.746002
14.000000,37.236245,131.887362,6600.974352,77.948997,28.841999,-151.819000
14.000000,37.236091,131.887324,6607.896360,78.154999,28.850000,-150.893997
14.000000,37.235937,131.887283,6614.823854,78.362000,28.855000,-149.970001
14.000000,37.235785,131.887240,6621.755616,78.569000,28.856001,-149.048004
14.000000,37.235632,131.887192,6628.691035,78.777000,28.851999,-148.126999
15.000000,37.235481,131.887143,6635.628283,78.985001,28.844999,-147.209000
15.000000,37.235331,131.887091,6642.567055,79.194000,28.834000,-146.292007
15.000000,37.235181,131.887035,6649.505827,79.403000,28.819000,-145.376999
15.000000,37.235033,131.886978,6656.443990,79.612000,28.799999,-144.464005
15.000000,37.234910,131.886926,6662.223912,79.786003,28.782000,-143.703995
15.000000,37.234763,131.886864,6669.157502,79.995003,28.756001,-142.794998
15.000000,37.234642,131.886809,6674.932548,80.168999,28.731001,-142.037994
15.000000,37.234497,131.886740,6681.858214,80.377998,28.698000,-141.132996
15.000000,37.234353,131.886669,6688.777783,80.586998,28.660000,-140.229004
15.000000,37.234211,131.886596,6695.690647,80.794998,28.618999,-139.328003
16.000000,37.234092,131.886533,6701.445576,80.968002,28.582001,-138.578003
16.000000,37.233974,131.886468,6707.194104,81.140999,28.542000,-137.830994
16.000000,37.233834,131.886388,6714.083803,81.348999,28.490999,-136.934998
16.000000,37.233719,131.886318,6719.816786,81.521004,28.445000,-136.190994
16.000000,37.233582,131.886234,6726.686064,81.726997,28.386000,-135.300003
16.000000,37.233445,131.886145,6733.542845,81.932999,28.323000,-134.412003
16.000000,37.233310,131.886055,6740.385910,82.137001,28.257000,-133.526001
16.000000,37.233197,131.885979,6746.077440,82.306999,28.198999,-132.789001
16.000000,37.233064,131.885883,6752.893378,82.511002,28.125999,-131.908005
16.000000,37.232955,131.885803,6758.560524,82.679001,28.062000,-131.175003
17.000000,37.232845,131.885721,6764.215783,82.847000,27.995001,-130.444000
17.000000,37.232738,131.885637,6769.858850,83.014000,27.926001,-129.714996
17.000000,37.232631,131.885551,6775.488506,83.181000,27.854000,-128.988007
17.000000,37.232524,131.885464,6781.104751,83.346001,27.780001,-128.263000
17.000000,37.232377,131.885339,6788.943293,83.575996,27.671000,-127.251007
17.000000,37.232273,131.885248,6794.524486,83.739998,27.591000,-126.529999
17.000000,37.232169,131.885155,6800.089829,83.902000,27.507999,-125.811005
17.000000,37.232048,131.885042,6806.747270,84.096001,27.405001,-124.951004
17.000000,37.231926,131.884927,6813.380633,84.288002,27.298000,-124.093994
17.000000,37.231806,131.884810,6819.988697,84.478996,27.188000,-123.240005
18.000000,37.231689,131.884689,6826.570853,84.667999,27.073999,-122.388000
18.000000,37.231572,131.884568,6833.126186,84.855003,26.957001,-121.539001
18.000000,37.231456,131.884444,6839.653478,85.041000,26.836000,-120.692993
18.000000,37.231362,131.884340,6845.071298,85.194000,26.733000,-119.990005
18.000000,37.231325,131.884297,6847.232635,85.254997,26.691000,-119.710007
18.000000,37.231268,131.884233,6850.468392,85.347000,26.628000,-119.289993
18.000000,37.231175,131.884126,6855.844454,85.497002,26.520000,-118.591003
18.000000,37.231084,131.884018,6861.198876,85.647003,26.409000,-117.893997
18.000000,37.230976,131.883885,6867.595409,85.824997,26.274000,-117.061005
18.000000,37.230868,131.883750,6873.959023,86.000999,26.135000,-116.229996
19.000000,37.230781,131.883637,6879.236635,86.146004,26.017000,-115.539993
19.000000,37.230694,131.883522,6884.490473,86.290001,25.896999,-114.852005
19.000000,37.230590,131.883384,6890.762952,86.460999,25.750000,-114.029007
19.000000,37.230490,131.883243,6896.999770,86.628998,25.599001,-113.209000
19.000000,37.230390,131.883100,6903.200011,86.795998,25.445999,-112.391998
19.000000,37.230292,131.882955,6909.362762,86.959999,25.289000,-111.578003
19.000000,37.230196,131.882809,6915.487109,87.122002,25.129000,-110.766998
19.000000,37.230101,131.882662,6921.572441,87.281998,24.966999,-109.959000
19.000000,37.230024,131.882536,6926.613223,87.413002,24.829000,-109.287003
19.000000,37.229947,131.882411,6931.626269,87.542999,24.688999,-108.617996
20.000000,37.229872,131.882284,6936.611273,87.671997,24.547001,-107.949005
20.000000,37.229783,131.882130,6942.555482,87.825996,24.372999,-107.147003
20.000000,37.229696,131.881975,6948.458544,87.981003,24.195999,-106.343002
20.000000,37.229612,131.881818,6954.319238,88.137001,24.016001,-105.535995
20.000000,37.229542,131.881686,6959.170435,88.268997,23.863001,-104.860001
20.000000,37.229461,131.881526,6964.952491,88.430000,23.676001,-104.044006
20.000000,37.229382,131.881365,6970.690351,88.593002,23.485001,-103.221008
20.000000,37.229305,131.881202,6976.383710,88.752998,23.291000,-102.391998
20.000000,37.229229,131.881038,6982.031045,88.910004,23.093000,-101.556000
20.000000,37.229156,131.880872,6987.631745,89.064003,22.891001,-100.713013
21.000000,37.229085,131.880705,6993.184896,89.212997,22.686001,-99.864990
21.000000,37.229015,131.880536,6998.689279,89.357002,22.478001,-99.011993
21.000000,37.228959,131.880395,7003.238724,89.473999,22.302000,-98.299988
21.000000,37.228904,131.880253,7007.753117,89.587997,22.125000,-97.587006
21.000000,37.228841,131.880080,7013.123388,89.722000,21.909000,-96.730011
21.000000,37.228779,131.879907,7018.442148,89.850998,21.691999,-95.873993
21.000000,37.228720,131.879732,7023.708178,89.975998,21.473000,-95.016998
21.000000,37.228662,131.879556,7028.920562,90.096001,21.250999,-94.161987
21.000000,37.228616,131.879410,7033.222814,90.194000,21.065001,-93.450012
21.000000,37.228561,131.879232,7038.334920,90.306999,20.840000,-92.596985
22.000000,37.228510,131.879053,7043.391552,90.415001,20.613001,-91.746002
22.000000,37.228461,131.878873,7048.391491,90.518997,20.385000,-90.897003
22.000000,37.228413,131.878693,7053.334128,90.619003,20.155001,-90.049011
22.000000,37.228376,131.878541,7057.408694,90.697998,19.962000,-89.343994
22.000000,37.228340,131.878389,7061.442722,90.775002,19.768000,-88.640015
22.000000,37.228298,131.878206,7066.228997,90.862000,19.534000,-87.796997
22.000000,37.228259,131.878022,7070.955530,90.945999,19.299000,-86.954987
22.000000,37.228221,131.877837,7075.621714,91.025002,19.062000,-86.115997
22.000000,37.228186,131.877651,7080.226327,91.099998,18.823000,-85.278015
22.000000,37.228153,131.877464,7084.769371,91.170998,18.584000,-84.441010
23.000000,37.228123,131.877277,7089.249626,91.237000,18.343000,-83.606995
23.000000,37.228094,131.877089,7093.667093,91.300003,18.101000,-82.773987
23.000000,37.228068,131.876901,7098.020856,91.359001,17.858000,-81.942993
23.000000,37.228043,131.876712,7102.310306,91.414001,17.613001,-81.113007
23.000000,37.228022,131.876522,7106.534834,91.464996,17.368000,-80.285004
23.000000,37.228002,131.876332,7110.693830,91.513000,17.121000,-79.458008
23.000000,37.227984,131.876141,7114.786990,91.556999,16.874001,-78.631989
23.000000,37.227968,131.875950,7118.813702,91.597000,16.625000,-77.808014
23.000000,37.227958,131.875791,7122.118344,91.627998,16.417999,-77.122986
23.000000,37.227948,131.875631,7125.375742,91.655998,16.209000,-76.437988
24.000000,37.227939,131.875439,7129.222927,91.686996,15.958000,-75.618011
24.000000,37.227932,131.875247,7133.001533,91.713997,15.707000,-74.799011
24.000000,37.227928,131.875087,7136.097691,91.734001,15.497000,-74.117004
24.000000,37.227925,131.874926,7139.146301,91.751999,15.286000,-73.437012
24.000000,37.227923,131.874733,7142.740502,91.771004,15.032000,-72.621002
24.000000,37.227924,131.874540,7146.264600,91.786003,14.778000,-71.806000
24.000000,37.227927,131.874347,7149.718594,91.797997,14.523000,-70.992004
24.000000,37.227933,131.874153,7153.101569,91.806000,14.268000,-70.179993
24.000000,37.227940,131.873960,7156.413526,91.811996,14.012000,-69.368011
24.000000,37.227948,131.873799,7159.118626,91.814003,13.798000,-68.692993
25.000000,37.227959,131.873606,7162.298909,91.815002,13.542000,-67.882996
25.000000,37.227974,131.873413,7165.406954,91.811996,13.285000,-67.074005
25.000000,37.227987,131.873251,7167.941366,91.806999,13.070000,-66.401001
25.000000,37.228004,131.873058,7170.915910,91.799004,12.812000,-65.593994
25.000000,37.228025,131.872865,7173.816996,91.788002,12.554000,-64.786987
25.000000,37.228043,131.872705,7176.178586,91.777000,12.339000,-64.115997
25.000000,37.228067,131.872512,7178.944646,91.761002,12.080000,-63.311005
25.000000,37.228089,131.872352,7181.192851,91.745003,11.864000,-62.640015
25.000000,37.228117,131.872160,7183.822666,91.723999,11.605000,-61.835999
25.000000,37.228142,131.872000,7185.956875,91.705002,11.389000,-61.166992
26.000000,37.228174,131.871809,7188.449530,91.679001,11.130000,-60.364014
26.000000,37.228209,131.871618,7190.866594,91.651001,10.871000,-59.562012
26.000000,37.228246,131.871427,7193.208372,91.621002,10.611000,-58.760010
26.000000,37.228278,131.871269,7195.101790,91.593002,10.395000,-58.092010
26.000000,37.228318,131.871080,7197.304579,91.557999,10.136000,-57.290985
26.000000,37.228360,131.870891,7199.430864,91.521004,9.876000,-56.490997
26.000000,37.228398,131.870734,7201.144450,91.487999,9.660000,-55.824005
26.000000,37.228445,131.870546,7203.130526,91.446999,9.401000,-55.023987
26.000000,37.228493,131.870359,7205.039794,91.403000,9.142000,-54.223999
26.000000,37.228544,131.870172,7206.871946,91.357002,8.884000,-53.424011
27.000000,37.228588,131.870018,7208.339863,91.318001,8.668000,-52.757996
27.000000,37.228644,131.869832,7210.030284,91.267998,8.410000,-51.959015
27.000000,37.228701,131.869648,7211.642981,91.216003,8.152000,-51.160004
27.000000,37.228750,131.869495,7212.927713,91.171997,7.937000,-50.493988
27.000000,37.228810,131.869313,7214.398068,91.115997,7.679000,-49.694000
27.000000,37.228874,131.869131,7215.790090,91.058998,7.422000,-48.894989
27.000000,37.228939,131.868950,7217.104082,91.000000,7.165000,-48.096008
27.000000,37.229007,131.868770,7218.339742,90.939003,6.909000,-47.296997
27.000000,37.229075,131.868592,7219.497067,90.876999,6.653000,-46.497009
27.000000,37.229147,131.868414,7220.575754,90.811996,6.398000,-45.697998
28.000000,37.229221,131.868238,7221.575803,90.746002,6.143000,-44.898010
28.000000,37.229296,131.868063,7222.497214,90.678001,5.888000,-44.097992
28.000000,37.229361,131.867917,7223.204654,90.620003,5.677000,-43.431000
28.000000,37.229426,131.867773,7223.857231,90.560997,5.466000,-42.764008
28.000000,37.229507,131.867600,7224.568025,90.488998,5.213000,-41.963013
28.000000,37.229590,131.867430,7225.199875,90.416000,4.961000,-41.161987
28.000000,37.229675,131.867260,7225.752173,90.341003,4.709000,-40.359985
28.000000,37.229762,131.867092,7226.225527,90.264000,4.458000,-39.558014
28.000000,37.229835,131.866952,7226.559588,90.198997,4.250000,-38.889008
28.000000,37.229926,131.866787,7226.887553,90.120003,4.000000,-38.085999
29.000000,37.230003,131.866650,7227.099998,90.054001,3.793000,-37.415985
29.000000,37.230097,131.866487,7227.282574,89.972000,3.545000,-36.612000
29.000000,37.230177,131.866353,7227.374014,89.903000,3.338000,-35.941010
29.000000,37.230258,131.866219,7227.410285,89.834000,3.133000,-35.269989
29.000000,37.230341,131.866087,7227.391387,89.763000,2.928000,-34.597992
29.000000,37.230441,131.865929,7227.295985,89.678001,2.683000,-33.790985
29.000000,37.230543,131.865774,7227.121030,89.591003,2.438000,-32.984009
29.000000,37.230648,131.865620,7226.866826,89.502998,2.195000,-32.174988
29.000000,37.230736,131.865493,7226.594335,89.429001,1.993000,-31.501007
29.000000,37.230844,131.865342,7226.194438,89.338997,1.751000,-30.691010
