Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.923646,7000.146528,0.0,-0.003,0.0,1.0
0.0166,128.181881,37.923691,7000.1605488000005,0.0,-0.012,0.0,1.0
0.0333,128.181881,37.923736,7000.173960000001,0.0,-0.025,0.0,1.0
0.05,128.181881,37.923781,7000.186152000001,0.0,-0.039,0.0,1.0
0.0666,128.181881,37.923826,7000.1977344,0.0,-0.055,0.0,1.0
0.0833,128.181881,37.923871,7000.2084024,0.0,-0.071,0.0,1.0
0.1,128.181881,37.923916,7000.218156000001,0.0,-0.086,0.0,1.0
0.1166,128.181881,37.923961,7000.226995200001,0.0,-0.1,0.0,1.0
0.1333,128.181881,37.924006,7000.235224800001,0.0,-0.113,0.0,1.0
0.15,128.181881,37.924051,7000.24254,0.0,-0.124,0.0,1.0
0.1666,128.181881,37.924096,7000.2489408,0.0,-0.134,0.0,1.0
0.1833,128.181881,37.924141,7000.2544272000005,0.0,-0.142,0.0,1.0
0.2,128.181881,37.924186,7000.2589992,0.0,-0.148,0.0,1.0
0.2166,128.181881,37.924231,7000.2629615999995,0.0,-0.154,0.0,1.0
0.2333,128.181881,37.924276,7000.266009600001,0.0,-0.157,0.0,1.0
0.25,128.181881,37.924321,7000.2681432,0.0,-0.16,0.0,1.0
0.2666,128.181881,37.924366,7000.2696672,0.0,-0.162,0.0,1.0
0.2833,128.181881,37.924411,7000.2702768,0.0,-0.163,0.0,1.0
0.3,128.181881,37.924456,7000.2702768,0.0,-0.164,0.0,1.0
0.3166,128.181881,37.924501,7000.2693624,0.0,-0.164,0.0,1.0
0.3333,128.181881,37.924546,7000.267533600001,0.0,-0.164,0.0,1.0
0.35,128.181881,37.924591,7000.2650952,0.0,-0.163,0.0,1.0
0.3666,128.181881,37.924636,7000.262047200001,0.001,-0.163,0.0,1.0
0.3833,128.181881,37.924682,7000.2583896,0.001,-0.163,0.0,1.0
0.4,128.181881,37.924727,7000.2538176,0.001,-0.162,0.0,1.0
0.4166,128.181881,37.924772,7000.2483312,0.001,-0.162,0.0,1.0
0.4333,128.181881,37.924817,7000.24254,0.001,-0.162,0.0,1.0
0.45,128.181881,37.924862,7000.2358343999995,0.001,-0.163,0.0,1.0
0.4666,128.181881,37.924907,7000.228519200001,0.001,-0.163,0.0,1.0
0.4833,128.181881,37.924952,7000.2205944,0.001,-0.164,0.0,1.0
0.5,128.181881,37.924998,7000.212060000001,0.002,-0.164,0.0,1.0
0.5166,128.181881,37.925043,7000.202611200001,0.002,-0.165,0.0,1.0
0.5333,128.181881,37.925088,7000.1928576,0.002,-0.166,0.0,1.0
0.55,128.181881,37.925133,7000.1821896,0.002,-0.168,0.0,1.0
0.5666,128.181881,37.925179,7000.1712168,0.002,-0.169,0.0,1.0
0.5833,128.181881,37.925224,7000.1593296,0.002,-0.17,0.0,1.0
0.6,128.181881,37.925269,7000.146832800001,0.003,-0.172,0.0,1.0
0.6166,128.181881,37.925314,7000.1340312,0.003,-0.173,0.0,1.0
0.6333,128.181881,37.92536,7000.120315200001,0.003,-0.174,0.0,1.0
0.65,128.181881,37.925405,7000.1062944000005,0.003,-0.176,0.0,1.0
0.6666,128.181881,37.92545,7000.0916640000005,0.003,-0.177,0.0,1.0
0.6833,128.181881,37.925495,7000.076424000001,0.004,-0.178,0.0,1.0
0.7,128.181881,37.925541,7000.0605744,0.004,-0.18,0.0,1.0
0.7166,128.181881,37.925586,7000.0441152,0.004,-0.181,0.0,1.0
0.7333,128.181881,37.925631,7000.0273512,0.004,-0.183,0.0,1.0
0.75,128.181881,37.925677,7000.009977600001,0.004,-0.184,0.0,1.0
0.7666,128.181881,37.925722,6999.9919944,0.005,-0.185,0.0,1.0
0.7833,128.181881,37.925767,6999.973401600001,0.005,-0.187,0.0,1.0
0.8,128.181881,37.925813,6999.954504,0.005,-0.188,0.001,1.0
0.8166,128.181881,37.925858,6999.934996800001,0.005,-0.189,0.001,1.0
0.8333,128.181881,37.925903,6999.91488,0.006,-0.191,0.001,1.0
0.85,128.181881,37.925949,6999.8941536,0.006,-0.192,0.001,1.0
0.8666,128.181881,37.925994,6999.8734272,0.006,-0.193,0.001,1.0
0.8833,128.181881,37.92604,6999.8517864000005,0.007,-0.195,0.001,1.0
0.9,128.181881,37.926085,6999.8298408,0.007,-0.196,0.001,1.0
0.9166,128.181881,37.92613,6999.8072856,0.007,-0.198,0.001,1.0
0.9333,128.181881,37.926176,6999.7844256,0.007,-0.199,0.001,1.0
0.95,128.181881,37.926221,6999.761260800001,0.008,-0.2,0.001,1.0
0.9666,128.181881,37.926267,6999.7371816,0.008,-0.202,0.001,1.0
0.9833,128.181881,37.926312,6999.7131024,0.008,-0.203,0.0,1.0
1.0,128.181881,37.926358,6999.688413600001,0.009,-0.205,0.0,1.0
1.0166,128.181881,37.926403,6999.663115200001,0.009,-0.206,0.0,1.0
1.0333,128.181881,37.926449,6999.637512,0.009,-0.208,0.0,1.0
1.05,128.181881,37.926494,6999.611604000001,0.01,-0.209,0.0,1.0
1.0666,128.181881,37.92654,6999.5850864,0.01,-0.21,0.0,1.0
1.0833,128.181881,37.926585,6999.558264,0.01,-0.212,0.0,1.0
1.1,128.181881,37.926631,6999.5311368,0.01,-0.213,0.0,1.0
1.1166,128.181881,37.926676,6999.5034000000005,0.011,-0.214,0.001,1.0
1.1333,128.181881,37.926722,6999.4756632,0.009,-0.216,0.0,1.0
1.15,128.181881,37.926767,6999.4473168,0.006,-0.219,359.999,1.0
1.1666,128.181881,37.926813,6999.418665600001,0.0,-0.221,359.998,1.0
1.1833,128.181881,37.926858,6999.3897096,-0.006,-0.225,359.997,1.0
1.2,128.181881,37.926904,6999.3604488,-0.015,-0.228,359.995,1.0
1.2166,128.181881,37.926949,6999.3308832,-0.025,-0.231,359.994,1.0
1.2333,128.181881,37.926995,6999.3010128000005,-0.035,-0.234,359.993,1.0
1.25,128.181881,37.927041,6999.2705328,-0.046,-0.237,359.992,1.0
1.2666,128.181881,37.927086,6999.239748,-0.056,-0.24,359.991,1.0
1.2833,128.181881,37.927132,6999.2083536,-0.066,-0.242,359.99,1.0
1.3,128.181881,37.927177,6999.1769592,-0.075,-0.244,359.99,1.0
1.3166,128.181881,37.927223,6999.1449552,-0.083,-0.245,359.989,1.0
1.3333,128.181881,37.927269,6999.112646400001,-0.091,-0.247,359.988,1.0
1.35,128.181881,37.927314,6999.0800328000005,-0.098,-0.248,359.988,1.0
1.3666,128.181881,37.92736,6999.0468096,-0.103,-0.249,359.987,1.0
1.3833,128.181881,37.927406,6999.0132816000005,-0.108,-0.25,359.987,1.0
1.4,128.181881,37.927451,6998.979753600001,-0.113,-0.251,359.986,1.0
1.4166,128.181881,37.927497,6998.945616,-0.116,-0.252,359.986,1.0
1.4333,128.181881,37.927543,6998.910868800001,-0.12,-0.253,359.985,1.0
1.45,128.181881,37.927589,6998.8761216,-0.122,-0.254,359.985,1.0
1.4666,128.181881,37.927634,6998.841069600001,-0.124,-0.255,359.984,1.0
1.4833,128.181881,37.92768,6998.805408,-0.126,-0.256,359.984,1.0
1.5,128.181881,37.927726,6998.7697464,-0.127,-0.258,359.984,1.0
1.5166,128.181881,37.927771,6998.7334752,-0.128,-0.259,359.983,1.0
1.5333,128.181881,37.927817,6998.697204,-0.128,-0.26,359.983,1.0
1.55,128.181881,37.927863,6998.660323200001,-0.129,-0.262,359.983,1.0
1.5666,128.181881,37.927909,6998.6231376000005,-0.129,-0.263,359.983,1.0
1.5833,128.181881,37.927955,6998.585952000001,-0.129,-0.265,359.983,1.0
1.6,128.181881,37.928,6998.5481568000005,-0.128,-0.266,359.983,1.0
1.6166,128.181881,37.928046,6998.5103616,-0.128,-0.268,359.983,1.0
1.6333,128.181881,37.928092,6998.471956800001,-0.127,-0.27,359.983,1.0
1.65,128.181881,37.928138,6998.433552,-0.126,-0.271,359.983,1.0
1.6666,128.181881,37.928184,6998.394537600001,-0.125,-0.273,359.983,1.0
1.6833,128.181881,37.92823,6998.355523200001,-0.124,-0.275,359.983,1.0
1.7,128.181881,37.928275,6998.316204000001,-0.123,-0.277,359.983,1.0
1.7166,128.181881,37.928321,6998.2762752,-0.122,-0.279,359.983,1.0
1.7333,128.181881,37.928367,6998.236346400001,-0.121,-0.282,359.983,1.0
1.75,128.181881,37.928413,6998.1961128,-0.119,-0.284,359.983,1.0
1.7666,128.181881,37.928459,6998.155574400001,-0.118,-0.286,359.983,1.0
1.7833,128.181881,37.928505,6998.115036,-0.117,-0.288,359.983,1.0
1.8,128.181881,37.928551,6998.073888000001,-0.115,-0.291,359.983,1.0
1.8166,128.181881,37.928597,6998.032740000001,-0.114,-0.293,359.983,1.0
1.8333,128.181881,37.928643,6997.990982400001,-0.113,-0.295,359.983,1.0
1.85,128.181881,37.928688,6997.949224800001,-0.111,-0.298,359.983,1.0
1.8666,128.181881,37.928734,6997.9071624,-0.11,-0.3,359.983,1.0
1.8833,128.181881,37.92878,6997.865404800001,-0.113,-0.303,359.982,1.0
1.9,128.181881,37.928826,6997.823037600001,-0.122,-0.307,359.981,1.0
1.9166,128.181881,37.928872,6997.7809752,-0.135,-0.312,359.979,1.0
1.9333,128.181881,37.928918,6997.7383032,-0.152,-0.318,359.978,1.0
1.95,128.181881,37.928964,6997.695936,-0.172,-0.323,359.976,1.0
1.9666,128.181881,37.92901,6997.652959200001,-0.194,-0.328,359.974,1.0
1.9833,128.181881,37.929056,6997.6096776,-0.217,-0.333,359.973,1.0
2.0,128.181881,37.929102,6997.566396,-0.239,-0.337,359.972,1.0
2.0166,128.181881,37.929148,6997.5225048,-0.261,-0.341,359.971,1.0
2.0333,128.181881,37.929194,6997.4786136,-0.281,-0.344,359.97,1.0
2.05,128.181881,37.92924,6997.434112800001,-0.3,-0.347,359.969,1.0
2.0666,128.181881,37.929287,6997.389612,-0.317,-0.35,359.969,1.0
2.0833,128.181881,37.929333,6997.3445016000005,-0.333,-0.352,359.968,1.0
2.1,128.181881,37.929379,6997.2993912,-0.346,-0.355,359.968,1.0
2.1166,128.181881,37.929425,6997.253976,-0.358,-0.357,359.967,1.0
2.1333,128.181881,37.929471,6997.207951200001,-0.369,-0.36,359.967,1.0
2.15,128.181881,37.929517,6997.1619264,-0.379,-0.362,359.966,1.0
2.1666,128.181881,37.929563,6997.1155968,-0.387,-0.365,359.966,1.0
2.1833,128.181881,37.929609,6997.0689624,-0.394,-0.368,359.966,1.0
2.2,128.181881,37.929655,6997.0220232,-0.4,-0.371,359.965,1.0
2.2166,128.181881,37.929702,6996.974779200001,-0.406,-0.375,359.965,1.0
2.2333,128.181881,37.929748,6996.92784,-0.419,-0.38,359.963,1.0
2.25,128.181881,37.929794,6996.880900800001,-0.44,-0.386,359.961,1.0
2.2666,128.181881,37.92984,6996.833656800001,-0.468,-0.393,359.959,1.0
2.2833,128.181881,37.929886,6996.7864128,-0.501,-0.4,359.956,1.0
2.3,128.181881,37.929932,6996.738864000001,-0.537,-0.407,359.953,1.0
2.3166,128.181881,37.929979,6996.691315200001,-0.576,-0.415,359.951,1.0
2.3333,128.181881,37.930025,6996.643156800001,-0.613,-0.421,359.95,1.0
2.35,128.181881,37.930071,6996.5943888,-0.649,-0.427,359.949,1.0
2.3666,128.181881,37.930117,6996.5456208,-0.682,-0.433,359.948,1.0
2.3833,128.181881,37.930164,6996.496548,-0.712,-0.438,359.947,1.0
2.4,128.181881,37.93021,6996.446865600001,-0.738,-0.442,359.947,1.0
2.4166,128.181881,37.930256,6996.396878400001,-0.762,-0.446,359.947,1.0
2.4333,128.181881,37.930302,6996.3465864,-0.783,-0.45,359.946,1.0
2.45,128.181881,37.930349,6996.2959896,-0.801,-0.453,359.946,1.0
