source_label,event_id,event_time_s,fork_time_s,damage_hp,history_available,range_m,own_ata_deg,own_los_az_deg,own_los_el_deg,own_vertical_speed_mps,damage_ok,range_ok,ata_ok,los_az_ok,los_el_ok,vertical_speed_ok,matches_filter,selected
S12,2026_8_8_16_10_45:e0:dealt:10331,172.1833,170.1833,0.007364341348132353,True,979.579147270966,34.47303410218115,-4.926522860730177,34.162369174815474,116.74449600000325,False,True,True,True,True,True,False,False
S12,2026_8_8_16_10_45:e0:dealt:11532,192.2,190.2,0.00130465695420523,True,1079.267656824533,39.13872430757802,-5.882651783407898,38.76449612708484,29.486352000005212,False,True,True,True,True,False,False,False
S13,2026_8_8_16_12_8:e0:dealt:8645,144.0833,142.0833,0.0026235830042835584,True,1127.5085775195685,39.207910789983096,-4.590994071478352,38.981294939902504,41.78503200000033,False,True,True,True,True,False,False,False
S13,2026_8_8_16_12_8:e0:dealt:9360,156.0,154.0,0.03800568228800372,True,891.3990200109725,18.61971500954977,6.60814108083503,17.44664684638586,-28.0233120000064,True,True,False,True,False,False,False,False
S13,2026_8_8_16_12_8:e0:dealt:9638,160.6333,158.6333,0.03097311821338189,True,825.4712092410144,22.26320632854002,19.455487989851054,11.039290419801965,8.91235199999806,True,True,False,False,False,False,False,False
S13,2026_8_8_16_12_8:e0:dealt:10268,171.1333,169.1333,0.006588370153848722,True,872.4305344868906,36.91252245933182,-5.33638152416595,36.57919829608129,20.83003200000012,False,True,True,True,True,False,False,False
S13,2026_8_8_16_12_8:e0:dealt:11111,185.1833,183.1833,0.024546902953822336,True,795.1151693184233,36.73165376021934,-2.841278116836922,36.6370465205132,17.218151999996802,True,False,True,True,True,False,False,False
S14,2026_8_8_16_13_9:e0:dealt:10237,170.6166,168.6166,0.0030402814520326116,True,1154.171712706773,15.217196655407605,-4.665811786148151,14.500353503440568,-232.2545520000081,False,True,False,True,False,False,False,False
S14,2026_8_8_16_13_9:e0:dealt:11104,185.0666,183.0666,0.02382666607359285,True,749.7118641205578,22.2874189790509,-2.201179431637307,22.18396825198767,150.6687360000109,True,False,False,True,False,True,False,False
S15,2026_8_8_16_14_14:e0:dealt:9466,157.7666,155.7666,0.014367444763296322,True,923.0338525989082,25.156622198909904,-2.688924529548791,25.02181035973726,141.98193599996966,True,True,True,True,True,True,True,True
S15,2026_8_8_16_14_14:e0:dealt:10965,182.75,180.75,0.007423285323728157,True,1011.9491996860788,37.33048182324148,-4.353022384619585,37.11258933803104,72.95692800000285,False,True,True,True,True,False,False,False
