seed,ownship_hp,teammate_hp,teammate_margin,end_condition
0,-0.0068,0.9975,1.0043,ownship destroyed
1,0.8806,0.8107,-0.0699,max time out
2,1.0000,-0.0028,-1.0028,target destroyed
3,1.0000,-0.0001,-1.0001,target destroyed
4,-0.0002,0.9688,0.9690,ownship destroyed
5,-0.0030,1.0000,1.0030,ownship destroyed
6,-0.0031,1.0000,1.0031,ownship destroyed
7,-0.0027,1.0000,1.0027,ownship destroyed
8,-0.0052,1.0000,1.0052,ownship destroyed
9,-0.0024,0.9703,0.9727,ownship destroyed
10,1.0000,0.3622,-0.6378,max time out
11,-0.0076,1.0000,1.0076,ownship destroyed
12,-0.0012,1.0000,1.0012,ownship destroyed
13,-0.0034,1.0000,1.0034,ownship destroyed
14,-0.0007,0.1617,0.1624,ownship destroyed
